License #,Dt,DBA Name,AKA Name,Facility Type,Inspection Date,License # - Flag
8974,2016-06-27,TUXEDO JUNCTION #2,TUXEDO JUNCTION #2,GROCERY STORE,06/27/2016,Correct
8987,2010-08-23,TAYLOR ST SUB SHOP,TAYLOR ST SUB SHOP,UNKNOWN,08/23/2010,Correct
9007,2014-07-30,PABLOS TACO'S,PABLOS TACO'S,RESTAURANT,07/30/2014,Correct
9010,2010-11-19,LA ESTRELLA SUPERMARKET,LA ESTRELLA SUPERMARKET,GROCERY STORE,11/19/2010,Correct
9016,2015-11-05,THE RINK,THE RINK,RESTAURANT,11/05/2015,Correct
9019,2012-08-01,JOE'S FOOD & LIQUOR,JOE'S FOOD & LIQUOR,UNKNOWN,08/01/2012,Correct
9027,2017-01-06,O'BRIENS RESTAURANT & BAR,O'BRIENS RESTAURANT & BAR,RESTAURANT,01/06/2017,Correct
9046,2010-05-11,ZIAD CERTIFIED FOODS,ZIAD CERTIFIED FOODS,GROCERY STORE,05/11/2010,Correct
9051,2017-03-31,BURGER BARON,BURGER BARON,RESTAURANT,03/31/2017,Correct
9057,2014-11-25,WILLIE'S LIQUOR,WILLIE'S LIQUOR,GROCERY STORE,11/25/2014,Correct
9076,2014-05-01,CHICAGO SEVENTH DAY ADVENTIST,CHICAGO SDA ACADEMY,PRIVATE SCHOOL,05/01/2014,Correct
9085,2013-06-21,TAMPICO CLUB INC,TAMPICO CLUB INC,GROCERY STORE,06/21/2013,Correct
9092,2010-12-21,BIRRIA HUENTITAN INC,BIRRIA HUENTITAN INC,RESTAURANT,12/21/2010,Correct
9115,2016-10-19,RICK'S CAFE,RICK'S CAFE,RESTAURANT,10/19/2016,Correct
9118,2015-10-09,KING CRAB TAVERN/SEAFOOD GRILL,KING CRAB TAVERN/SEAFOOD GRILL,RESTAURANT,10/09/2015,Correct
9132,2012-07-16,HIBB'S PLACE,HIBB'S PLACE,UNKNOWN,07/16/2012,Correct
9138,2016-12-13,RAINBOW FINER FOOD & LIQUOR,RAINBOW FINER FOOD & LIQUOR,GROCERY STORE,12/13/2016,Correct
9142,2013-03-28,GENO'S PIZZA,GENO'S PIZZA,UNKNOWN,03/28/2013,Correct
9148,2011-02-17,HAPPINESS RESTAURANT,HAPPINESS RESTAURANT,UNKNOWN,02/17/2011,Correct
9154,2017-02-21,JIMMY G'S,JIMMY G'S,RESTAURANT,02/21/2017,Correct
9173,2010-04-02,ZENON GADOMSKI,ZENON GADOMSKI,UNKNOWN,04/02/2010,Correct
9176,2016-06-09,HOLLYWOOD BROADWAY SHELL,HOLLYWOOD BROADWAY SHELL,GAS STATION,06/09/2016,Correct
9185,2015-12-11,TUTS STORE,TUTS STORE,UNKNOWN,12/11/2015,Correct
9209,2013-09-10,EL JARDIN CAFE,EL JARDIN CAFE,RESTAURANT,09/10/2013,Correct
9211,2016-10-21,COLUMBIA YACHT CLUB,COLUMBIA YACHT CLUB,RESTAURANT,10/21/2016,Correct
9223,2014-08-06,NARANJITO MICHOACANO,NARANJITO MICHOACANO,UNKNOWN,08/06/2014,Correct
9246,2016-09-13,BAR CASA BLANCA,BAR CASA BLANCA,RESTAURANT,09/13/2016,Correct
9261,2011-11-29,ERNIE'S RESTAURANT,ERNIE'S RESTAURANT,UNKNOWN,11/29/2011,Correct
9264,2013-04-18,ETHIOPIAN VILLAGE RESTAURANT,ETHIOPIAN VILLAGE RESTAURANT,UNKNOWN,04/18/2013,Correct
9267,2012-01-24,FRANKO'S PIZZERIA,FRANKO'S PIZZERIA,UNKNOWN,01/24/2012,Correct
9268,2012-01-24,FRANKO'S PIZZERIA,FRANKO'S PIZZERIA,UNKNOWN,01/24/2012,Correct
9274,2011-05-03,SALEM CHRISTIAN SCHOOL,SALEM CHRISTIAN SCHOOL,SCHOOL,05/03/2011,Correct
9276,2013-03-15,TREVINO'S LIQUORS INC,TREVINO'S LIQUORS INC,LIQUOR,03/15/2013,Correct
9278,2017-06-27,SHAW'S CRAB HOUSE,SHAW'S CRAB HOUSE,RESTAURANT,06/27/2017,Correct
9282,2013-04-04,LAKE SHORE SCHOOL,LAKE SHORE  SCHOOL,DAYCARE (UNDER 2 YEARS),04/04/2013,Correct
9283,2013-04-04,LAKE SHORE SCHOOL,LAKE SHORE  SCHOOL,DAYCARE (UNDER 2 YEARS),04/04/2013,Correct
9285,2012-08-06,BEAUTY BAR,BEAUTY BAR,LIQUOR,08/06/2012,Correct
9304,2017-08-08,SYRENA'S BALTIC LOUNGE,SYRENA'S BALTIC LOUNGE,LIQUOR,08/08/2017,Correct
9320,2012-12-04,2012 W IRVING PARK,2012 W IRVING PARK,RESTAURANT,12/04/2012,Correct
9338,2013-05-15,YUGOSLAV BENEVOLENT CLUB-HERITAGE MANOR,YUGOSLAV BENEVOLENT CLUB-HERITAGE MANOR,RESTAURANT,05/15/2013,Correct
9344,2016-08-19,MEXICO STEAK HOUSE,MEXICO STEAK HOUSE,RESTAURANT,08/19/2016,Correct
9364,2011-09-01,FRANK FOOD,FRANK FOOD,UNKNOWN,09/01/2011,Correct
9383,2012-10-11,EL PAISA LOUNGE,EL PAISA LOUNGE,LIQUOR,10/11/2012,Correct
9408,2015-12-15,KING FOOD & LIQUOR,KING FOOD & LIQUOR,GROCERY STORE,12/15/2015,Correct
9412,2016-08-16,CORCORANS PANTRY INC,CORCORANS PANTRY INC,GROCERY STORE,08/16/2016,Correct
9416,2014-04-17,JERSEY JOE'S PLACE,JERSEY JOE'S PLACE,UNKNOWN,04/17/2014,Correct
9427,2012-02-01,WINDY CITY SWEETS,WINDY CITY SWEETS,RESTAURANT,02/01/2012,Correct
9498,2017-01-03,STAN'S CORNER INC,STAN'S CORNER INC,RESTAURANT,01/03/2017,Correct
9523,2017-05-05,RISTORANTE AGOSTINO,RISTORANTE AGOSTINO,RESTAURANT,05/05/2017,Correct
9525,2016-09-15,MARIE'S GOLDEN CUE,MARIE'S GOLDEN CUE,RESTAURANT,09/15/2016,Correct
9562,2013-09-24,MULICA'S DELI & LIQUORS INC,MULICA'S DELI & LIQUORS INC,GROCERY STORE,09/24/2013,Correct
9567,2017-03-16,COLLETTI'S RESTAURANT,COLLETTI'S RESTAURANT,RESTAURANT,03/16/2017,Correct
9571,2017-01-20,THAI ROOM RESTAURANT INC.,THAI ROOM RESTAURANT,RESTAURANT,01/20/2017,Correct
9576,2015-05-06,FAMILY DEN,FAMILY DEN,RESTAURANT,05/06/2015,Correct
9580,2016-08-12,THE SECOND CITY,THE SECOND CITY,RESTAURANT,08/12/2016,Correct
9586,2016-08-12,SECOND CITY,SECOND CITY,RESTAURANT,08/12/2016,Correct
9612,2015-09-24,OLIVE HARVEY CHILD CARE CTR,OLIVE HARVEY COLLEGE,DAYCARE (2-6 YEARS),09/24/2015,Correct
9616,2013-08-15,GRANDMA GEBHARDS,GRANDMA GEBHARDS,RESTAURANT,08/15/2013,Correct
9648,2016-10-26,CAFE #10,CAFE #10,RESTAURANT,10/26/2016,Correct
9655,2011-04-14,3 R'S ORIENTAL FOOD MART,3 R'S ORIENTAL FOOD MART,UNKNOWN,04/14/2011,Correct
9663,2012-09-06,"F & F CONCESSION, INC",THE ARAGON BALLROOM,RESTAURANT,09/06/2012,Correct
9691,2016-09-14,JED'S FRUIT & VEGETABLE MRK,JED'S FRUIT & VEGETABLE MRK,GROCERY STORE,09/14/2016,Correct
9709,2017-05-30,GIOVANNI'S PIZZA,GIOVANNI'S PIZZA,RESTAURANT,05/30/2017,Correct
9731,2017-07-20,SHELLY'S FREEZE,SHELLY'S FREEZE,RESTAURANT,07/20/2017,Correct
9739,2013-11-05,HA MIEN RESTAURANT,HA MIEN RESTAURANT,UNKNOWN,11/05/2013,Correct
9760,2010-06-28,KILDARE FOOD MART,KILDARE FOOD MART,UNKNOWN,06/28/2010,Correct
9803,2013-12-06,PEERLESS TRADING CORP,PEERLESS TRADING CORP,GROCERY STORE,12/06/2013,Correct
9808,2011-04-25,IHSAN CORP,IHSAN CORP,UNKNOWN,04/25/2011,Correct
9821,2017-01-31,FURAMA RESTAURANT INC,FURAMA RESTAURANT,RESTAURANT,01/31/2017,Correct
9829,2012-04-04,JO-NI & COMPANY,JO-NI & COMPANY,GROCERY STORE,04/04/2012,Correct
9845,2014-06-03,JADE PALACE RESTAURANT,JADE PALACE RESTAURANT,RESTAURANT,06/03/2014,Correct
9864,2016-06-03,EL-JEEB GROCERY & MEAT,EL-JEEB GROCERY & MEAT,GROCERY STORE,06/03/2016,Correct
9875,2011-05-26,DON PEDRO CARNITAS,DON PEDRO CARNITAS,UNKNOWN,05/26/2011,Correct
9886,2014-12-26,JAMES SPANOS,JAMES SPANOS,UNKNOWN,12/26/2014,Correct
9888,2016-11-18,NICKY'S CARRYOUT,NICKY'S CARRYOUT,RESTAURANT,11/18/2016,Correct
9890,2017-06-30,L & M STARLIGHT RESTAURANT INC,L & M STARLIGHT RESTAURANT INC,RESTAURANT,06/30/2017,Correct
10125,2013-09-19,WHITE HEN PANTRY #0-0-8505-1,WHITE HEN PANTRY #0-0-8505-1,UNKNOWN,09/19/2013,Correct
10130,2010-03-10,THE JACKSON GRILL,THE JACKSON GRILL,UNKNOWN,03/10/2010,Correct
